iter	Passed	Remaining
606	1827	1183
607	1830	1180
608	1833	1177
609	1835	1173
610	1840	1171
611	1844	1169
612	1846	1165
613	1849	1162
614	1851	1159
615	1856	1157
616	1858	1153
617	1860	1150
618	1863	1146
619	1865	1143
620	1868	1140
621	1871	1137
622	1873	1133
623	1875	1129
624	1877	1126
625	1879	1122
626	1881	1119
627	1884	1116
628	1887	1113
629	1889	1109
630	1891	1106
631	1894	1102
632	1898	1100
633	1901	1097
634	1903	1094
635	1905	1090
636	1908	1087
637	1910	1084
638	1913	1081
639	1915	1077
640	1918	1074
641	1921	1071
642	1924	1068
643	1929	1066
644	1932	1063
645	1935	1060
646	1937	1057
647	1940	1053
648	1944	1051
649	1946	1048
650	1949	1044
651	1951	1041
652	1953	1038
653	1957	1035
654	1960	1032
655	1962	1029
656	1964	1025
657	1968	1023
658	1974	1021
659	1976	1018
660	1979	1015
661	1981	1011
662	1984	1008
663	1988	1006
664	1990	1002
665	1992	999
666	1996	996
667	1998	993
668	2001	990
669	2004	987
670	2007	984
671	2009	980
672	2011	977
673	2013	974
674	2017	971
675	2019	967
676	2021	964
677	2023	961
678	2026	957
679	2028	954
680	2031	951
681	2033	948
682	2036	945
683	2038	941
684	2040	938
685	2045	936
686	2048	933
687	2050	929
688	2052	926
689	2055	923
690	2057	920
691	2062	917
692	2064	914
693	2066	911
694	2069	908
695	2071	904
696	2075	902
697	2077	899
698	2080	895
699	2082	892
700	2085	889
701	2089	886
702	2091	883
703	2093	880
704	2095	877
705	2098	873
706	2100	870
707	2103	867
708	2106	864
709	2108	861
710	2110	857
711	2112	854
712	2114	851
713	2117	848
714	2120	845
715	2122	842
716	2125	838
717	2127	835
718	2129	832
719	2134	830
720	2136	826
721	2138	823
722	2141	820
723	2143	817
724	2146	814
725	2149	811
726	2151	807
727	2153	804
728	2155	801
729	2158	798
730	2164	796
731	2167	793
732	2169	790
733	2172	787
734	2177	785
735	2180	782
736	2183	779
737	2186	776
738	2188	773
739	2191	769
740	2194	766
741	2196	763
742	2198	760
743	2203	758
744	2205	754
745	2208	751
746	2210	748
747	2213	745
748	2217	743
749	2219	739
750	2222	736
751	2224	733
752	2226	730
753	2228	727
754	2232	724
755	2235	721
756	2237	718
757	2240	715
758	2243	712
759	2246	709
760	2250	706
761	2253	703
762	2255	700
763	2258	697
764	2262	694
765	2264	691
766	2268	689
767	2271	686
768	2273	683
769	2277	680
770	2280	677
771	2282	674
772	2285	671
773	2287	668
774	2291	665
775	2294	662
776	2296	659
777	2299	656
778	2301	652
779	2306	650
780	2309	647
781	2311	644
782	2313	641
783	2315	638
784	2318	634
785	2321	632
786	2323	628
787	2325	625
788	2328	622
789	2330	619
790	2334	616
791	2336	613
792	2338	610
793	2340	607
794	2342	604
795	2344	600
796	2346	597
797	2349	594
798	2352	591
799	2354	588
800	2356	585
801	2359	582
802	2361	579
803	2365	576
804	2367	573
805	2369	570
806	2371	567
807	2373	564
808	2376	561
809	2380	558
810	2382	555
811	2384	552
812	2386	548
813	2388	545
814	2390	542
815	2393	539
816	2395	536
817	2397	533
818	2399	530
819	2401	527
820	2403	524
821	2409	521
822	2412	518
823	2414	515
824	2417	512
825	2423	510
826	2426	507
827	2429	504
828	2431	501
829	2434	498
830	2437	495
831	2441	493
832	2444	490
833	2446	487
834	2450	484
835	2453	481
836	2455	478
